disease,ID
"Granuloma, Giant Cell",C07.320.391
Jaw Abnormalities,C07.320.440
Cleft Palate,C07.320.440.185
Micrognathism,C07.320.440.457
Pierre Robin Syndrome,C07.320.440.606
Prognathism,C07.320.440.655
Retrognathia,C07.320.440.827
Jaw Cysts,C07.320.450
Nonodontogenic Cysts,C07.320.450.640
Odontogenic Cysts,C07.320.450.670
Basal Cell Nevus Syndrome,C07.320.450.670.130
Dentigerous Cyst,C07.320.450.670.275
"Odontogenic Cyst, Calcifying",C07.320.450.670.495
Periodontal Cyst,C07.320.450.670.513
Radicular Cyst,C07.320.450.670.513.811
Jaw Neoplasms,C07.320.515
Mandibular Neoplasms,C07.320.515.583
Maxillary Neoplasms,C07.320.515.601
Palatal Neoplasms,C07.320.515.692
"Jaw, Edentulous",C07.320.550
"Jaw, Edentulous, Partially",C07.320.550.450
Mandibular Diseases,C07.320.610
Craniomandibular Disorders,C07.320.610.291
Temporomandibular Joint Disorders,C07.320.610.291.897
Temporomandibular Joint Dysfunction Syndrome,C07.320.610.291.897.897
Mandibular Neoplasms,C07.320.610.583
Prognathism,C07.320.610.655
Retrognathia,C07.320.610.827
Maxillary Diseases,C07.320.660
Maxillary Neoplasms,C07.320.660.601
Periapical Diseases,C07.320.830
Periapical Periodontitis,C07.320.830.700
Periapical Abscess,C07.320.830.700.700
Periapical Granuloma,C07.320.830.700.740
Radicular Cyst,C07.320.830.820
Mouth Diseases,C07.465
Behcet Syndrome,C07.465.075
Bell Palsy,C07.465.094
Burning Mouth Syndrome,C07.465.114
"Candidiasis, Oral",C07.465.130
Dry Socket,C07.465.227
Facial Hemiatrophy,C07.465.284
Facial Nerve Diseases,C07.465.299
Bell Palsy,C07.465.299.250
Facial Hemiatrophy,C07.465.299.375
Facial Nerve Injuries,C07.465.299.500
Facial Neuralgia,C07.465.299.625
Trigeminal Nerve Diseases,C07.465.299.625.500
Trigeminal Nerve Injuries,C07.465.299.625.500.349
Lingual Nerve Injuries,C07.465.299.625.500.349.500
Trigeminal Neuralgia,C07.465.299.625.500.700
Herpes Zoster Oticus,C07.465.299.750
Melkersson-Rosenthal Syndrome,C07.465.299.800
Mobius Syndrome,C07.465.299.825
Facial Paralysis,C07.465.327
Focal Epithelial Hyperplasia,C07.465.342
"Granulomatosis, Orofacial",C07.465.353
Hemifacial Spasm,C07.465.364
"Leukoedema, Oral",C07.465.385
"Lichen Planus, Oral",C07.465.397
Lip Diseases,C07.465.409
Cheilitis,C07.465.409.215
Cleft Lip,C07.465.409.225
Herpes Labialis,C07.465.409.466
Lip Neoplasms,C07.465.409.640
Ludwig's Angina,C07.465.433
Melkersson-Rosenthal Syndrome,C07.465.466
Mouth Abnormalities,C07.465.525
Cleft Lip,C07.465.525.164
Cleft Palate,C07.465.525.185
"Fibromatosis, Gingival",C07.465.525.304
Macrostomia,C07.465.525.480
Microstomia,C07.465.525.520
Velopharyngeal Insufficiency,C07.465.525.955
Mouth Neoplasms,C07.465.530
Gingival Neoplasms,C07.465.530.402
"Leukoplakia, Oral",C07.465.530.545
"Leukoplakia, Hairy",C07.465.530.545.500
Lip Neoplasms,C07.465.530.550
Palatal Neoplasms,C07.465.530.692
Salivary Gland Neoplasms,C07.465.530.824
Parotid Neoplasms,C07.465.530.824.695
Sublingual Gland Neoplasms,C07.465.530.824.882
Submandibular Gland Neoplasms,C07.465.530.824.885
Tongue Neoplasms,C07.465.530.925
"Mouth, Edentulous",C07.465.550
"Jaw, Edentulous",C07.465.550.425
"Jaw, Edentulous, Partially",C07.465.550.425.450
Mucositis,C07.465.584
Noma,C07.465.604
Oral Fistula,C07.465.614
Dental Fistula,C07.465.614.187
Oroantral Fistula,C07.465.614.421
Salivary Gland Fistula,C07.465.614.655
Oral Hemorrhage,C07.465.625
Gingival Hemorrhage,C07.465.625.446
Oral Manifestations,C07.465.634
Oral Submucous Fibrosis,C07.465.654
Oral Ulcer,C07.465.672
Periodontal Diseases,C07.465.714
Furcation Defects,C07.465.714.204
Gingival Diseases,C07.465.714.258
Gingival Hemorrhage,C07.465.714.258.250
Gingival Neoplasms,C07.465.714.258.409
Gingival Overgrowth,C07.465.714.258.428
"Fibromatosis, Gingival",C07.465.714.258.428.200
Gingival Hyperplasia,C07.465.714.258.428.250
Gingival Hypertrophy,C07.465.714.258.428.260
Gingival Recession,C07.465.714.258.447
Gingivitis,C07.465.714.258.480
Gingival Pocket,C07.465.714.258.480.360
"Gingivitis, Necrotizing Ulcerative",C07.465.714.258.480.446
"Granuloma, Giant Cell",C07.465.714.258.557
Pericoronitis,C07.465.714.258.771
Peri-Implantitis,C07.465.714.282
Periapical Diseases,C07.465.714.306
Periapical Periodontitis,C07.465.714.306.700
Periapical Abscess,C07.465.714.306.700.700
Periapical Granuloma,C07.465.714.306.700.740
Radicular Cyst,C07.465.714.306.820
Periodontal Atrophy,C07.465.714.354
Alveolar Bone Loss,C07.465.714.354.500
Gingival Recession,C07.465.714.354.625
Periodontal Attachment Loss,C07.465.714.354.750
Periodontal Cyst,C07.465.714.470
Periodontitis,C07.465.714.533
Aggressive Periodontitis,C07.465.714.533.161
Chronic Periodontitis,C07.465.714.533.324
Periapical Periodontitis,C07.465.714.533.487
Periapical Abscess,C07.465.714.533.487.700
Periapical Granuloma,C07.465.714.533.487.740
Periodontal Abscess,C07.465.714.533.650
Periodontal Pocket,C07.465.714.533.750
Tooth Loss,C07.465.714.804
Tooth Migration,C07.465.714.836
Mesial Movement of Teeth,C07.465.714.836.535
Tooth Mobility,C07.465.714.898
Ranula,C07.465.780
Salivary Gland Diseases,C07.465.815
Mikulicz' Disease,C07.465.815.355
Parotid Diseases,C07.465.815.470
Parotid Neoplasms,C07.465.815.470.770
Parotitis,C07.465.815.470.800
Mumps,C07.465.815.470.800.630
Salivary Calculi,C07.465.815.497
Salivary Duct Calculi,C07.465.815.497.325
Salivary Gland Calculi,C07.465.815.497.500
Salivary Gland Fistula,C07.465.815.655
Salivary Gland Neoplasms,C07.465.815.718
Parotid Neoplasms,C07.465.815.718.589
Sublingual Gland Neoplasms,C07.465.815.718.870
Submandibular Gland Neoplasms,C07.465.815.718.885
Sialadenitis,C07.465.815.793
Parotitis,C07.465.815.793.500
"Sialometaplasia, Necrotizing",C07.465.815.802
Sialorrhea,C07.465.815.815
Submandibular Gland Diseases,C07.465.815.882
Submandibular Gland Neoplasms,C07.465.815.882.500
Xerostomia,C07.465.815.929
Sjogren's Syndrome,C07.465.815.929.669
Stomatitis,C07.465.864
Stevens-Johnson Syndrome,C07.465.864.500
"Stomatitis, Aphthous",C07.465.864.750
"Stomatitis, Denture",C07.465.864.875
"Stomatitis, Herpetic",C07.465.864.937
Vesicular Stomatitis,C07.465.864.968
Tongue Diseases,C07.465.910
Glossalgia,C07.465.910.280
Glossitis,C07.465.910.363
"Glossitis, Benign Migratory",C07.465.910.363.447
Glossoptosis,C07.465.910.411
Macroglossia,C07.465.910.460
Tongue Neoplasms,C07.465.910.470
"Tongue, Fissured",C07.465.910.708
"Tongue, Hairy",C07.465.910.791
"Tuberculosis, Oral",C07.465.943
Pharyngeal Diseases,C07.550
Lemierre Syndrome,C07.550.174
Nasopharyngeal Diseases,C07.550.350
Nasopharyngeal Neoplasms,C07.550.350.650
Nasopharyngeal Carcinoma,C07.550.350.650.500
Nasopharyngitis,C07.550.350.700
Pharyngeal Neoplasms,C07.550.745
Hypopharyngeal Neoplasms,C07.550.745.436
Nasopharyngeal Neoplasms,C07.550.745.650
Nasopharyngeal Carcinoma,C07.550.745.650.500
Oropharyngeal Neoplasms,C07.550.745.671
Tonsillar Neoplasms,C07.550.745.671.800
Pharyngitis,C07.550.781
Nasopharyngitis,C07.550.781.500
Retropharyngeal Abscess,C07.550.781.625
Tonsillitis,C07.550.781.750
Peritonsillar Abscess,C07.550.781.750.500
Velopharyngeal Insufficiency,C07.550.966
Stomatognathic System Abnormalities,C07.650
Maxillofacial Abnormalities,C07.650.500
Dentofacial Deformities,C07.650.500.229
Jaw Abnormalities,C07.650.500.460
Cleft Palate,C07.650.500.460.185
Micrognathism,C07.650.500.460.457
Pierre Robin Syndrome,C07.650.500.460.606
Prognathism,C07.650.500.460.655
Retrognathia,C07.650.500.460.827
Mouth Abnormalities,C07.650.525
Cleft Lip,C07.650.525.164
Cleft Palate,C07.650.525.185
"Fibromatosis, Gingival",C07.650.525.304
Macrostomia,C07.650.525.480
Microstomia,C07.650.525.520
Velopharyngeal Insufficiency,C07.650.525.955
Tooth Abnormalities,C07.650.800
Anodontia,C07.650.800.100
Dens in Dente,C07.650.800.250
Dental Enamel Hypoplasia,C07.650.800.255
Amelogenesis Imperfecta,C07.650.800.255.500
Dentin Dysplasia,C07.650.800.260
Dentinogenesis Imperfecta,C07.650.800.270
Diastema,C07.650.800.320
Fused Teeth,C07.650.800.370
Odontodysplasia,C07.650.800.600
"Tooth, Supernumerary",C07.650.800.850
Temporomandibular Joint Disorders,C07.678
Temporomandibular Joint Dysfunction Syndrome,C07.678.949
Tooth Diseases,C07.793
Bruxism,C07.793.099
Sleep Bruxism,C07.793.099.500
Dental Deposits,C07.793.208
Dental Calculus,C07.793.208.250
Dental Plaque,C07.793.208.377
Smear Layer,C07.793.208.688
Dental Leakage,C07.793.221
Dental Pulp Diseases,C07.793.237
Dental Pulp Calcification,C07.793.237.252
Dental Pulp Exposure,C07.793.237.283
Dental Pulp Necrosis,C07.793.237.315
"Dentin, Secondary",C07.793.237.378
Pulpitis,C07.793.237.820
"Tooth, Nonvital",C07.793.237.910
Dentin Sensitivity,C07.793.266
"Fluorosis, Dental",C07.793.330
"Focal Infection, Dental",C07.793.348
Hypercementosis,C07.793.422
Malocclusion,C07.793.494
"Dental Occlusion, Traumatic",C07.793.494.293
"Malocclusion, Angle Class I",C07.793.494.610
"Malocclusion, Angle Class II",C07.793.494.630
Overbite,C07.793.494.630.500
"Malocclusion, Angle Class III",C07.793.494.650
Open Bite,C07.793.494.825
"Mouth, Edentulous",C07.793.597
"Jaw, Edentulous",C07.793.597.425
"Jaw, Edentulous, Partially",C07.793.597.425.450
Tooth Abnormalities,C07.793.700
Anodontia,C07.793.700.100
Dens in Dente,C07.793.700.250
Dental Enamel Hypoplasia,C07.793.700.255
Amelogenesis Imperfecta,C07.793.700.255.500
Dentin Dysplasia,C07.793.700.260
Dentinogenesis Imperfecta,C07.793.700.270
Diastema,C07.793.700.320
Fused Teeth,C07.793.700.370
Odontodysplasia,C07.793.700.600
"Tooth, Supernumerary",C07.793.700.850
Tooth Ankylosis,C07.793.710
Tooth Demineralization,C07.793.720
Dental Caries,C07.793.720.210
Dental Fissures,C07.793.720.210.220
Root Caries,C07.793.720.210.650
Tooth Discoloration,C07.793.735
"Tooth Eruption, Ectopic",C07.793.790
Tooth Wear,C07.793.818
Tooth Abrasion,C07.793.818.124
Tooth Attrition,C07.793.818.249
Tooth Erosion,C07.793.818.500
Tooth Injuries,C07.793.850
Tooth Avulsion,C07.793.850.725
Tooth Fractures,C07.793.850.750
Cracked Tooth Syndrome,C07.793.850.750.300
Tooth Loss,C07.793.870
Tooth Resorption,C07.793.901
Root Resorption,C07.793.901.653
"Tooth, Impacted",C07.793.905
"Tooth, Unerupted",C07.793.915
Toothache,C07.793.929
Respiratory Tract Diseases,C08
Bronchial Diseases,C08.127
Asthma,C08.127.108
"Asthma, Aspirin-Induced",C08.127.108.054
"Asthma, Exercise-Induced",C08.127.108.110
"Asthma, Occupational",C08.127.108.495
Status Asthmaticus,C08.127.108.880
Bronchial Fistula,C08.127.196
Bronchial Hyperreactivity,C08.127.210
Bronchial Neoplasms,C08.127.265
Bronchial Spasm,C08.127.321
Bronchiectasis,C08.127.384
Kartagener Syndrome,C08.127.384.500
Bronchitis,C08.127.446
Bronchiolitis,C08.127.446.135
Bronchiolitis Obliterans,C08.127.446.135.140
Cryptogenic Organizing Pneumonia,C08.127.446.135.140.200
"Bronchiolitis, Viral",C08.127.446.135.321
"Bronchitis, Chronic",C08.127.446.567
Bronchogenic Cyst,C08.127.480
Bronchopneumonia,C08.127.509
Tracheobronchomalacia,C08.127.719
Bronchomalacia,C08.127.719.500
Tracheobronchomegaly,C08.127.930
Ciliary Motility Disorders,C08.200
Kartagener Syndrome,C08.200.531
"Granuloma, Respiratory Tract",C08.280
"Granuloma, Laryngeal",C08.280.400
Laryngeal Diseases,C08.360
"Granuloma, Laryngeal",C08.360.232
Laryngeal Edema,C08.360.313
Laryngeal Neoplasms,C08.360.369
Laryngeal Nerve Injuries,C08.360.424
Recurrent Laryngeal Nerve Injuries,C08.360.424.500
Laryngitis,C08.360.535
Croup,C08.360.535.365
Laryngocele,C08.360.549
Laryngomalacia,C08.360.563
Laryngopharyngeal Reflux,C08.360.577
Laryngostenosis,C08.360.591
Supraglottitis,C08.360.840
"Tuberculosis, Laryngeal",C08.360.860
Vocal Cord Dysfunction,C08.360.895
Laryngismus,C08.360.895.500
Vocal Cord Paralysis,C08.360.931
Voice Disorders,C08.360.940
Aphonia,C08.360.940.160
Dysphonia,C08.360.940.325
Hoarseness,C08.360.940.490
Lung Diseases,C08.381
Acute Chest Syndrome,C08.381.074
alpha 1-Antitrypsin Deficiency,C08.381.112
"Cystic Adenomatoid Malformation of Lung, Congenital",C08.381.150
Cystic Fibrosis,C08.381.187
Hemoptysis,C08.381.348
Hepatopulmonary Syndrome,C08.381.385
"Hypertension, Pulmonary",C08.381.423
Familial Primary Pulmonary Hypertension,C08.381.423.300
Persistent Fetal Circulation Syndrome,C08.381.423.694
Lung Abscess,C08.381.450
"Lung Diseases, Fungal",C08.381.472
Blastomycosis,C08.381.472.350
"Pneumonia, Pneumocystis",C08.381.472.700
Pulmonary Aspergillosis,C08.381.472.850
"Aspergillosis, Allergic Bronchopulmonary",C08.381.472.850.500
Invasive Pulmonary Aspergillosis,C08.381.472.850.750
"Lung Diseases, Interstitial",C08.381.483
"Alveolitis, Extrinsic Allergic",C08.381.483.125
Bird Fancier's Lung,C08.381.483.125.125
Farmer's Lung,C08.381.483.125.365
Silo Filler's Disease,C08.381.483.125.682
Trichosporonosis,C08.381.483.125.841
Anti-Glomerular Basement Membrane Disease,C08.381.483.156
"Histiocytosis, Langerhans-Cell",C08.381.483.375
Eosinophilic Granuloma,C08.381.483.375.500
Idiopathic Interstitial Pneumonias,C08.381.483.487
Cryptogenic Organizing Pneumonia,C08.381.483.487.249
Idiopathic Pulmonary Fibrosis,C08.381.483.487.500
Pneumoconiosis,C08.381.483.581
Anthracosis,C08.381.483.581.062
Anthracosilicosis,C08.381.483.581.062.500
Asbestosis,C08.381.483.581.125
Berylliosis,C08.381.483.581.225
Byssinosis,C08.381.483.581.275
Caplan Syndrome,C08.381.483.581.300
Siderosis,C08.381.483.581.750
Silicosis,C08.381.483.581.760
Anthracosilicosis,C08.381.483.581.760.125
Silicotuberculosis,C08.381.483.581.760.750
Radiation Pneumonitis,C08.381.483.675
"Sarcoidosis, Pulmonary",C08.381.483.725
Granulomatosis with Polyangiitis,C08.381.483.950
"Lung Diseases, Obstructive",C08.381.495
Asthma,C08.381.495.108
Bronchitis,C08.381.495.146
Bronchiolitis,C08.381.495.146.135
Bronchiolitis Obliterans,C08.381.495.146.135.140
Cryptogenic Organizing Pneumonia,C08.381.495.146.135.140.200
"Bronchiolitis, Viral",C08.381.495.146.135.321
"Bronchitis, Chronic",C08.381.495.146.567
"Pulmonary Disease, Chronic Obstructive",C08.381.495.389
"Bronchitis, Chronic",C08.381.495.389.500
Pulmonary Emphysema,C08.381.495.389.750
"Lung Diseases, Parasitic",C08.381.517
"Echinococcosis, Pulmonary",C08.381.517.314
Lung Injury,C08.381.520
Acute Lung Injury,C08.381.520.500
Transfusion-Related Acute Lung Injury,C08.381.520.500.500
Meconium Aspiration Syndrome,C08.381.520.687
Pneumoconiosis,C08.381.520.702
Anthracosis,C08.381.520.702.062
Anthracosilicosis,C08.381.520.702.062.500
Asbestosis,C08.381.520.702.125
Berylliosis,C08.381.520.702.225
Byssinosis,C08.381.520.702.275
Caplan Syndrome,C08.381.520.702.300
Siderosis,C08.381.520.702.750
Silicosis,C08.381.520.702.760
Anthracosilicosis,C08.381.520.702.760.125
Silicotuberculosis,C08.381.520.702.760.750
Radiation Pneumonitis,C08.381.520.734
Ventilator-Induced Lung Injury,C08.381.520.750
Bronchopulmonary Dysplasia,C08.381.520.750.500
Lung Neoplasms,C08.381.540
"Carcinoma, Bronchogenic",C08.381.540.140
"Carcinoma, Non-Small-Cell Lung",C08.381.540.140.500
Small Cell Lung Carcinoma,C08.381.540.140.750
Multiple Pulmonary Nodules,C08.381.540.148
Pancoast Syndrome,C08.381.540.734
Pulmonary Sclerosing Hemangioma,C08.381.540.867
"Lung, Hyperlucent",C08.381.570
"Plasma Cell Granuloma, Pulmonary",C08.381.600
Pneumonia,C08.381.677
Bronchopneumonia,C08.381.677.127
Healthcare-Associated Pneumonia,C08.381.677.300
Pleuropneumonia,C08.381.677.473
"Pneumonia, Aspiration",C08.381.677.529
"Pneumonia, Lipid",C08.381.677.529.612
"Pneumonia, Bacterial",C08.381.677.540
Chlamydial Pneumonia,C08.381.677.540.249
"Pneumonia of Calves, Enzootic",C08.381.677.540.300
"Pneumonia of Swine, Mycoplasmal",C08.381.677.540.400
"Pneumonia, Mycoplasma",C08.381.677.540.500
"Pneumonia, Pneumococcal",C08.381.677.540.550
"Pneumonia, Rickettsial",C08.381.677.540.600
"Pneumonia, Staphylococcal",C08.381.677.540.620
"Pneumonia, Necrotizing",C08.381.677.608
"Pneumonia, Pneumocystis",C08.381.677.675
"Pneumonia, Ventilator-Associated",C08.381.677.800
"Pneumonia, Viral",C08.381.677.807
Pulmonary Alveolar Proteinosis,C08.381.719
Pulmonary Atelectasis,C08.381.730
Middle Lobe Syndrome,C08.381.730.542
Pulmonary Edema,C08.381.742
Pulmonary Embolism,C08.381.746
Pulmonary Infarction,C08.381.746.500
Pulmonary Eosinophilia,C08.381.750
Pulmonary Fibrosis,C08.381.765
Idiopathic Pulmonary Fibrosis,C08.381.765.500
Pulmonary Veno-Occlusive Disease,C08.381.780
"Respiratory Distress Syndrome, Adult",C08.381.840
"Respiratory Distress Syndrome, Newborn",C08.381.842
Hyaline Membrane Disease,C08.381.842.475
Transient Tachypnea of the Newborn,C08.381.842.737
Scimitar Syndrome,C08.381.844
Solitary Pulmonary Nodule,C08.381.884
"Tuberculosis, Pulmonary",C08.381.922
Silicotuberculosis,C08.381.922.669
Nose Diseases,C08.460
Choanal Atresia,C08.460.171
Epistaxis,C08.460.261
"Granuloma, Lethal Midline",C08.460.393
Nasal Obstruction,C08.460.525
Nasal Polyps,C08.460.572
Nasal Septal Perforation,C08.460.595
"Nose Deformities, Acquired",C08.460.619
Nose Neoplasms,C08.460.669
Paranasal Sinus Neoplasms,C08.460.669.693
Maxillary Sinus Neoplasms,C08.460.669.693.575
Paranasal Sinus Diseases,C08.460.692
Paranasal Sinus Neoplasms,C08.460.692.503
Maxillary Sinus Neoplasms,C08.460.692.503.503
Sinusitis,C08.460.692.752
Ethmoid Sinusitis,C08.460.692.752.267
Frontal Sinusitis,C08.460.692.752.387
Maxillary Sinusitis,C08.460.692.752.578
Sphenoid Sinusitis,C08.460.692.752.827
Rhinitis,C08.460.799
"Rhinitis, Allergic",C08.460.799.315
"Rhinitis, Allergic, Perennial",C08.460.799.315.500
"Rhinitis, Allergic, Seasonal",C08.460.799.315.750
"Rhinitis, Atrophic",C08.460.799.649
"Rhinitis, Vasomotor",C08.460.799.910
Rhinoscleroma,C08.460.850
Pleural Diseases,C08.528
Chylothorax,C08.528.142
"Empyema, Pleural",C08.528.240
"Empyema, Tuberculous",C08.528.240.320
Hemopneumothorax,C08.528.338
Hemothorax,C08.528.380
Hydropneumothorax,C08.528.434
Hydrothorax,C08.528.476
Pleural Effusion,C08.528.652
"Pleural Effusion, Malignant",C08.528.652.700
Pleural Neoplasms,C08.528.694
"Pleural Effusion, Malignant",C08.528.694.700
Pleurisy,C08.528.735
Pleuropneumonia,C08.528.735.473
Pneumothorax,C08.528.778
"Tuberculosis, Pleural",C08.528.928
"Empyema, Tuberculous",C08.528.928.405
Respiration Disorders,C08.618
Acute Chest Syndrome,C08.618.009
Altitude Sickness,C08.618.020
Apnea,C08.618.085
Sleep Apnea Syndromes,C08.618.085.852
"Sleep Apnea, Central",C08.618.085.852.800
"Sleep Apnea, Obstructive",C08.618.085.852.850
Obesity Hypoventilation Syndrome,C08.618.085.852.850.500
Cheyne-Stokes Respiration,C08.618.182
Cough,C08.618.248
Dyspnea,C08.618.326
"Dyspnea, Paroxysmal",C08.618.326.396
Hoarseness,C08.618.490
Lipoid Proteinosis of Urbach and Wiethe,C08.618.490.500
Hyperventilation,C08.618.501
"Alkalosis, Respiratory",C08.618.501.271
Meconium Aspiration Syndrome,C08.618.580
Mouth Breathing,C08.618.659
Respiratory Aspiration,C08.618.749
Respiratory Aspiration of Gastric Contents,C08.618.749.500
"Respiratory Distress Syndrome, Adult",C08.618.840
"Respiratory Distress Syndrome, Newborn",C08.618.842
Hyaline Membrane Disease,C08.618.842.475
Transient Tachypnea of the Newborn,C08.618.842.737
Respiratory Insufficiency,C08.618.846
"Acidosis, Respiratory",C08.618.846.093
Airway Obstruction,C08.618.846.185
Nasal Obstruction,C08.618.846.185.525
"Granuloma, Laryngeal",C08.618.846.414
Hantavirus Pulmonary Syndrome,C08.618.846.450
Hypoventilation,C08.618.846.565
Obesity Hypoventilation Syndrome,C08.618.846.565.500
Infantile Apparent Life-Threatening Event,C08.618.846.600
"Positive-Pressure Respiration, Intrinsic",C08.618.846.688
Respiratory Paralysis,C08.618.846.812
Sarcoglycanopathies,C08.618.923
Tachypnea,C08.618.961
Transient Tachypnea of the Newborn,C08.618.961.500
Vocal Cord Dysfunction,C08.618.980
Laryngismus,C08.618.980.500
Respiratory Hypersensitivity,C08.674
"Alveolitis, Extrinsic Allergic",C08.674.055
Bird Fancier's Lung,C08.674.055.125
Farmer's Lung,C08.674.055.365
Trichosporonosis,C08.674.055.682
"Aspergillosis, Allergic Bronchopulmonary",C08.674.060
Asthma,C08.674.095
"Asthma, Aspirin-Induced",C08.674.095.054
"Asthma, Exercise-Induced",C08.674.095.110
"Asthma, Occupational",C08.674.095.495
Status Asthmaticus,C08.674.095.880
"Rhinitis, Allergic",C08.674.453
"Rhinitis, Allergic, Perennial",C08.674.453.500
"Rhinitis, Allergic, Seasonal",C08.674.453.750
Respiratory System Abnormalities,C08.695
Bronchogenic Cyst,C08.695.195
Bronchopulmonary Sequestration,C08.695.214
Choanal Atresia,C08.695.271
"Cystic Adenomatoid Malformation of Lung, Congenital",C08.695.290
Kartagener Syndrome,C08.695.501
Laryngocele,C08.695.520
Scimitar Syndrome,C08.695.815
Tracheobronchomegaly,C08.695.830
Respiratory Tract Fistula,C08.702
Bronchial Fistula,C08.702.196
Tracheoesophageal Fistula,C08.702.750
Respiratory Tract Infections,C08.730
Bovine Respiratory Disease Complex,C08.730.085
"Pasteurellosis, Pneumonic",C08.730.085.600
"Pneumonia of Calves, Enzootic",C08.730.085.630
"Pneumonia, Atypical Interstitial, of Cattle",C08.730.085.660
Bronchitis,C08.730.099
Bronchiolitis,C08.730.099.135
"Bronchiolitis, Viral",C08.730.099.135.321
"Bronchitis, Chronic",C08.730.099.567
Common Cold,C08.730.162
"Empyema, Pleural",C08.730.265
"Empyema, Tuberculous",C08.730.265.320
"Influenza, Human",C08.730.310
Laryngitis,C08.730.368
Legionellosis,C08.730.382
Legionnaires' Disease,C08.730.382.380
Lung Abscess,C08.730.407
"Lung Diseases, Fungal",C08.730.435
"Aspergillosis, Allergic Bronchopulmonary",C08.730.435.090
Blastomycosis,C08.730.435.395
"Pneumonia, Pneumocystis",C08.730.435.700
"Lung Diseases, Parasitic",C08.730.450
"Echinococcosis, Pulmonary",C08.730.450.314
Pharyngitis,C08.730.561
Nasopharyngitis,C08.730.561.500
Retropharyngeal Abscess,C08.730.561.625
Tonsillitis,C08.730.561.750
Peritonsillar Abscess,C08.730.561.750.500
Pleurisy,C08.730.582
Pleuropneumonia,C08.730.582.473
Pneumonia,C08.730.610
Bronchopneumonia,C08.730.610.127
Healthcare-Associated Pneumonia,C08.730.610.300
Pleuropneumonia,C08.730.610.473
"Pneumonia, Aspiration",C08.730.610.529
"Pneumonia, Lipid",C08.730.610.529.612
"Pneumonia, Bacterial",C08.730.610.540
Chlamydial Pneumonia,C08.730.610.540.249
"Pneumonia of Calves, Enzootic",C08.730.610.540.530
"Pneumonia of Swine, Mycoplasmal",C08.730.610.540.540
"Pneumonia, Mycoplasma",C08.730.610.540.545
"Pneumonia, Pneumococcal",C08.730.610.540.550
"Pneumonia, Rickettsial",C08.730.610.540.600
"Pneumonia, Staphylococcal",C08.730.610.540.620
"Pneumonia, Necrotizing",C08.730.610.608
"Pneumonia, Pneumocystis",C08.730.610.675
"Pneumonia, Ventilator-Associated",C08.730.610.750
"Pneumonia, Viral",C08.730.610.763
Rhinitis,C08.730.674
Rhinoscleroma,C08.730.702
Severe Acute Respiratory Syndrome,C08.730.730
Sinusitis,C08.730.749
Ethmoid Sinusitis,C08.730.749.267
Frontal Sinusitis,C08.730.749.387
Maxillary Sinusitis,C08.730.749.578
Sphenoid Sinusitis,C08.730.749.827
Supraglottitis,C08.730.798
Epiglottitis,C08.730.798.200
Tracheitis,C08.730.848
"Tuberculosis, Laryngeal",C08.730.860
"Tuberculosis, Pleural",C08.730.912
"Empyema, Tuberculous",C08.730.912.405
"Tuberculosis, Pulmonary",C08.730.939
Silicotuberculosis,C08.730.939.669
Whooping Cough,C08.730.969
Respiratory Tract Neoplasms,C08.785
Laryngeal Neoplasms,C08.785.481
Lung Neoplasms,C08.785.520
Bronchial Neoplasms,C08.785.520.100
"Carcinoma, Bronchogenic",C08.785.520.100.220
"Carcinoma, Non-Small-Cell Lung",C08.785.520.100.220.500
Small Cell Lung Carcinoma,C08.785.520.100.220.750
Multiple Pulmonary Nodules,C08.785.520.148
Pancoast Syndrome,C08.785.520.734
Pulmonary Sclerosing Hemangioma,C08.785.520.867
Nose Neoplasms,C08.785.600
Paranasal Sinus Neoplasms,C08.785.600.693
Maxillary Sinus Neoplasms,C08.785.600.693.575
Pleural Neoplasms,C08.785.640
"Pleural Effusion, Malignant",C08.785.640.700
Tracheal Neoplasms,C08.785.760
Thoracic Diseases,C08.846
Mediastinal Diseases,C08.846.187
Mediastinal Cyst,C08.846.187.145
Mediastinal Emphysema,C08.846.187.290
Mediastinal Neoplasms,C08.846.187.580
Mediastinitis,C08.846.187.790
Tracheal Diseases,C08.907
Tracheal Neoplasms,C08.907.563
Tracheal Stenosis,C08.907.663
Tracheitis,C08.907.763
Tracheobronchomalacia,C08.907.796
Tracheomalacia,C08.907.796.500
Tracheobronchomegaly,C08.907.830
Tracheoesophageal Fistula,C08.907.863
Otorhinolaryngologic Diseases,C09
Ciliary Motility Disorders,C09.150
Kartagener Syndrome,C09.150.531
Ear Diseases,C09.218
"Cholesteatoma, Middle Ear",C09.218.200
Congenital Microtia,C09.218.235
"Ear Deformities, Acquired",C09.218.271
Ear Neoplasms,C09.218.334
Earache,C09.218.350
Hearing Disorders,C09.218.458
Hearing Loss,C09.218.458.341
Deafness,C09.218.458.341.186
Deaf-Blind Disorders,C09.218.458.341.186.500
Usher Syndromes,C09.218.458.341.186.500.500
Wolfram Syndrome,C09.218.458.341.186.500.750
"Hearing Loss, Bilateral",C09.218.458.341.374
"Hearing Loss, Conductive",C09.218.458.341.562
"Hearing Loss, Functional",C09.218.458.341.750
"Hearing Loss, High-Frequency",C09.218.458.341.812
"Hearing Loss, Mixed Conductive-Sensorineural",C09.218.458.341.849
"Hearing Loss, Sensorineural",C09.218.458.341.887
